prefix	base	ontology IRI	version IRI
rdf	http://www.w3.org/1999/02/22-rdf-syntax-ns#		
rdfs	http://www.w3.org/2000/01/rdf-schema#		
xsd	http://www.w3.org/2001/XMLSchema#		
owl	http://www.w3.org/2002/07/owl#		
oio	http://www.geneontology.org/formats/oboInOwl#		
dce	http://purl.org/dc/elements/1.1/		
dct	http://purl.org/dc/terms/		
foaf	http://xmlns.com/foaf/0.1/		
BFO	http://purl.obolibrary.org/obo/BFO_		
ECO	http://purl.obolibrary.org/obo/ECO_	http://purl.obolibrary.org/obo/eco.owl	
GO	http://purl.obolibrary.org/obo/GO_	http://purl.obolibrary.org/obo/go.owl	
IAO	http://purl.obolibrary.org/obo/IAO_		
MRO	http://purl.obolibrary.org/obo/MRO_		
NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_	http://purl.obolibrary.org/obo/ncbitaxon.owl	
OBI	http://purl.obolibrary.org/obo/OBI_	http://purl.obolibrary.org/obo/obi.owl	
PR	http://purl.obolibrary.org/obo/PR_	http://purl.obolibrary.org/obo/pr.owl	
RO	http://purl.obolibrary.org/obo/RO_		
SO	http://purl.obolibrary.org/obo/SO_	http://purl.obolibrary.org/obo/so.owl	
iedb	http://iedb.org/		
obo	http://purl.obolibrary.org/obo/		
